carton|plan|category_label|stage|active|program|version_pk|tag|mapper_pk|mapper_label|category_pk|magnitude_placeholders
openfibertargets_nov2020_12|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_14|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_15|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_17|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_18|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_19a|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_19b|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_19c|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_22|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_24|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_25|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_26|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'GAIA_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_27|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_28a|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_28b|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_28c|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_29|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_3|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_30|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'GAIA_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_31|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_32|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_33|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_34a|0.5.13|science|filler|y|open_fiber|111|0.3.12|||0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_34b|0.5.13|science|filler|y|open_fiber|111|0.3.12|||0|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
openfibertargets_nov2020_35a|0.5.3|science|open|y|open_fiber|95|0.3.4|||0|{'SDSS_None', 'SDSS_-9999.0', 'SDSS_Invalid', 'TMASS_Invalid'}
