carton|program|version_pk|plan|tag|mapper_pk|mapper_label|category_pk|category_label|value|value_min|value_max|priority_min|priority_max|cadence_pk|cadence_label|lambda_eff|instrument_pk|instrument_label|magnitude_placeholder
manual_bright_targets_g13_offset_fixed_2|commissioning|95|0.5.3|0.3.4|0|MWM|0|science|{0.0}|0.0|0.0|6080|6080||||||{'SDSS_None', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_-9999.0'}
manual_bright_targets_g13_offset_fixed_3|commissioning|95|0.5.3|0.3.4|0|MWM|0|science|{0.0}|0.0|0.0|6080|6080||||||{'SDSS_None', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_-9999.0'}
manual_bright_targets_g13_offset_fixed_4|commissioning|95|0.5.3|0.3.4|0|MWM|0|science|{0.0}|0.0|0.0|6080|6080||||||{'SDSS_None', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_-9999.0'}
manual_bright_targets_g13_offset_fixed_5|commissioning|95|0.5.3|0.3.4|0|MWM|0|science|{0.0}|0.0|0.0|6080|6080||||||{'SDSS_None', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_-9999.0'}
manual_bright_targets_g13_offset_fixed_6|commissioning|95|0.5.3|0.3.4|0|MWM|0|science|{0.0}|0.0|0.0|6080|6080||||||{'SDSS_None', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_-9999.0'}
manual_bright_targets_g13_offset_fixed_7|commissioning|95|0.5.3|0.3.4|0|MWM|0|science|{0.0}|0.0|0.0|6080|6080||||||{'SDSS_None', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_-9999.0'}
manual_fps_position_stars|commissioning|95|0.5.3|0.3.4|||0|science|{0.0}|0.0|0.0|6080|6080|{1}|{'bright_1x1'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'SDSS_None', 'GAIA_Invalid', 'SDSS_-9999.0'}
manual_nsbh_apogee|mwm_cb|95|0.5.3|0.3.4|0|MWM|0|science|{0.0}|0.0|0.0|1400|1400|{1}|{'bright_1x1'}|{16000.0}|{1}|{'APOGEE'}|{'SDSS_Invalid', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_None'}
manual_nsbh_boss|mwm_cb|95|0.5.3|0.3.4|0|MWM|0|science|{0.0}|0.0|0.0|1400|1400|{1, 30}|{'dark_1x1', 'bright_1x1'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_None'}
mwm_cb_300pc_apogee|mwm_cb|96|0.5.4|0.3.5|0|MWM|0|science|{1.0}|1.0|1.0|1400|1400|{1}|{'bright_1x1'}|{16000.0}|{1}|{'APOGEE'}|{'SDSS_Invalid', 'TMASS_Invalid', 'SDSS_None', 'GAIA_Invalid', 'SDSS_-9999.0'}
mwm_cb_300pc_boss|mwm_cb|96|0.5.4|0.3.5|0|MWM|0|science|{2.0}|2.0|2.0|1400|1400|{9, 34}|{'bright_2x1', 'dark_2x1'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'SDSS_None', 'GAIA_Invalid', 'SDSS_-9999.0'}
mwm_cb_cvcandidates_apogee|mwm_cb|83|0.5.0|0.3.0|0|MWM|0|science|{1.0}|1.0|1.0|1400|1400|{1}|{'bright_1x1'}|{16000.0}|{1}|{'APOGEE'}|{'SDSS_Invalid'}
mwm_cb_cvcandidates_boss|mwm_cb|83|0.5.0|0.3.0|0|MWM|0|science|{2.0}|2.0|2.0|1400|1400|{9, 34}|{'bright_2x1', 'dark_2x1'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'GAIA_Invalid'}
mwm_cb_gaiagalex_apogee|mwm_cb|83|0.5.0|0.3.0|0|MWM|0|science|{1.0}|1.0|1.0|1400|1400|{1}|{'bright_1x1'}|{16000.0}|{1}|{'APOGEE'}|{'SDSS_Invalid', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_-9999.0'}
mwm_cb_gaiagalex_boss|mwm_cb|83|0.5.0|0.3.0|0|MWM|0|science|{2.0}|2.0|2.0|1400|1400|{9, 34}|{'bright_2x1', 'dark_2x1'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'GAIA_Invalid', 'SDSS_-9999.0'}
mwm_cb_uvex1|mwm_cb|83|0.5.0|0.3.0|0|MWM|0|science|{1.0, 2.0, 3.0}|1.0|3.0|1400|1400|{32, 1, 31}|{'bright_1x1', 'dark_1x3', 'dark_1x2'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'SDSS_None', 'GAIA_Invalid', 'SDSS_-9999.0'}
